Fold,Classifier,F1,Balanced_Accuracy,Precision,MCC,Recall,ROC_AUC,F2,Specificity,Negative_PV,Best_Params,Repetition
0,GaussianNB,0.8823529411764706,0.9066937119675456,0.8823529411764706,0.8133874239350912,0.8823529411764706,0.9066937119675457,0.8823529411764706,0.9310344827586207,0.9310344827586207,None,1
1,GaussianNB,0.8955223880597015,0.915314401622718,0.9090909090909091,0.8359445416355712,0.8823529411764706,0.915314401622718,0.8955223880597015,0.9482758620689655,0.9322033898305084,None,1
2,GaussianNB,0.8985507246376812,0.9213995943204868,0.8857142857142857,0.8379268639529253,0.9117647058823529,0.9213995943204867,0.8985507246376812,0.9310344827586207,0.9473684210526315,None,1
3,GaussianNB,0.9411764705882353,0.9483709273182956,0.9696969696969697,0.9077283820534893,0.9142857142857143,0.9483709273182956,0.9411764705882353,0.9824561403508771,0.9491525423728814,None,1
4,GaussianNB,0.927536231884058,0.9395989974937343,0.9411764705882353,0.8843103004653615,0.9142857142857143,0.9395989974937342,0.927536231884058,0.9649122807017544,0.9482758620689655,None,1
0,GaussianNB,0.9538461538461539,0.9558823529411764,1.0,0.9310874388089504,0.9117647058823529,0.9558823529411764,0.9538461538461539,1.0,0.9508196721311475,None,2
1,GaussianNB,0.8387096774193549,0.8651115618661258,0.9285714285714286,0.76601986835422,0.7647058823529411,0.8651115618661258,0.8387096774193549,0.9655172413793104,0.875,None,2
2,GaussianNB,0.8857142857142857,0.9127789046653144,0.8611111111111112,0.8164990454770977,0.9117647058823529,0.9127789046653142,0.8857142857142857,0.9137931034482759,0.9464285714285714,None,2
3,GaussianNB,0.9295774647887324,0.9451127819548872,0.9166666666666666,0.8855768346738705,0.9428571428571428,0.9451127819548872,0.9295774647887324,0.9473684210526315,0.9642857142857143,None,2
4,GaussianNB,0.9014084507042254,0.9220551378446116,0.8888888888888888,0.8397023590038276,0.9142857142857143,0.9220551378446115,0.9014084507042254,0.9298245614035088,0.9464285714285714,None,2
0,GaussianNB,0.9230769230769231,0.9325557809330629,0.967741935483871,0.8834455898821298,0.8823529411764706,0.9325557809330629,0.9230769230769231,0.9827586206896551,0.9344262295081968,None,3
1,GaussianNB,0.8235294117647058,0.8600405679513184,0.8235294117647058,0.7200811359026369,0.8235294117647058,0.8600405679513184,0.8235294117647058,0.896551724137931,0.896551724137931,None,3
2,GaussianNB,0.9375,0.9411764705882353,1.0,0.908530101301843,0.8823529411764706,0.9411764705882353,0.9375,1.0,0.9354838709677419,None,3
3,GaussianNB,0.9066666666666666,0.9330827067669173,0.85,0.8482827207484639,0.9714285714285714,0.9330827067669173,0.9066666666666666,0.8947368421052632,0.9807692307692307,None,3
4,GaussianNB,0.9565217391304348,0.96265664160401,0.9705882352941176,0.9306937369777978,0.9428571428571428,0.96265664160401,0.9565217391304348,0.9824561403508771,0.9655172413793104,None,3
0,GaussianNB,0.9090909090909091,0.9239350912778905,0.9375,0.8592750533496201,0.8823529411764706,0.9239350912778904,0.9090909090909091,0.9655172413793104,0.9333333333333333,None,4
1,GaussianNB,0.8169014084507042,0.8575050709939147,0.7837837837837838,0.7038554059834363,0.8529411764705882,0.8575050709939148,0.8169014084507042,0.8620689655172413,0.9090909090909091,None,4
2,GaussianNB,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9533468559837728,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9827586206896551,0.9827586206896551,None,4
3,GaussianNB,0.9253731343283582,0.9340852130325814,0.96875,0.884964446656634,0.8857142857142857,0.9340852130325813,0.9253731343283582,0.9824561403508771,0.9333333333333333,None,4
4,GaussianNB,0.927536231884058,0.9395989974937343,0.9411764705882353,0.8843103004653615,0.9142857142857143,0.9395989974937342,0.927536231884058,0.9649122807017544,0.9482758620689655,None,4
0,GaussianNB,0.8615384615384616,0.8859026369168357,0.9032258064516129,0.7881618920284886,0.8235294117647058,0.8859026369168357,0.8615384615384616,0.9482758620689655,0.9016393442622951,None,5
1,GaussianNB,0.9230769230769231,0.9325557809330629,0.967741935483871,0.8834455898821298,0.8823529411764706,0.9325557809330629,0.9230769230769231,0.9827586206896551,0.9344262295081968,None,5
2,GaussianNB,0.9142857142857143,0.936105476673428,0.8888888888888888,0.8626402691772778,0.9411764705882353,0.9361054766734279,0.9142857142857143,0.9310344827586207,0.9642857142857143,None,5
3,GaussianNB,0.9565217391304348,0.96265664160401,0.9705882352941176,0.9306937369777978,0.9428571428571428,0.96265664160401,0.9565217391304348,0.9824561403508771,0.9655172413793104,None,5
4,GaussianNB,0.8333333333333334,0.8671679197994987,0.8108108108108109,0.7270829621939933,0.8571428571428571,0.8671679197994988,0.8333333333333334,0.8771929824561403,0.9090909090909091,None,5
0,GaussianNB,0.90625,0.9178498985801217,0.9666666666666667,0.8604928775548489,0.8529411764705882,0.9178498985801217,0.90625,0.9827586206896551,0.9193548387096774,None,6
1,GaussianNB,0.9230769230769231,0.9325557809330629,0.967741935483871,0.8834455898821298,0.8823529411764706,0.9325557809330629,0.9230769230769231,0.9827586206896551,0.9344262295081968,None,6
2,GaussianNB,0.8955223880597015,0.915314401622718,0.9090909090909091,0.8359445416355712,0.8823529411764706,0.915314401622718,0.8955223880597015,0.9482758620689655,0.9322033898305084,None,6
3,GaussianNB,0.8529411764705882,0.8791979949874686,0.8787878787878788,0.7676875584387531,0.8285714285714286,0.8791979949874688,0.8529411764705882,0.9298245614035088,0.8983050847457628,None,6
4,GaussianNB,0.9315068493150684,0.95062656641604,0.8947368421052632,0.8886475731005105,0.9714285714285714,0.9506265664160402,0.9315068493150684,0.9298245614035088,0.9814814814814815,None,6
0,GaussianNB,0.9393939393939394,0.947261663286004,0.96875,0.9065557381033074,0.9117647058823529,0.9472616632860039,0.9393939393939394,0.9827586206896551,0.95,None,7
1,GaussianNB,0.90625,0.9178498985801217,0.9666666666666667,0.8604928775548489,0.8529411764705882,0.9178498985801217,0.90625,0.9827586206896551,0.9193548387096774,None,7
2,GaussianNB,0.927536231884058,0.9447261663286004,0.9142857142857143,0.8843103004653615,0.9411764705882353,0.9447261663286004,0.927536231884058,0.9482758620689655,0.9649122807017544,None,7
3,GaussianNB,0.9166666666666666,0.9363408521303258,0.8918918918918919,0.8640624144571619,0.9428571428571428,0.9363408521303258,0.9166666666666666,0.9298245614035088,0.9636363636363636,None,7
4,GaussianNB,0.8656716417910447,0.8879699248120301,0.90625,0.7909497479356059,0.8285714285714286,0.8879699248120302,0.8656716417910447,0.9473684210526315,0.9,None,7
0,GaussianNB,0.8235294117647058,0.8600405679513184,0.8235294117647058,0.7200811359026369,0.8235294117647058,0.8600405679513184,0.8235294117647058,0.896551724137931,0.896551724137931,None,8
1,GaussianNB,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,None,8
2,GaussianNB,0.9393939393939394,0.947261663286004,0.96875,0.9065557381033074,0.9117647058823529,0.9472616632860039,0.9393939393939394,0.9827586206896551,0.95,None,8
3,GaussianNB,0.9014084507042254,0.9220551378446116,0.8888888888888888,0.8397023590038276,0.9142857142857143,0.9220551378446115,0.9014084507042254,0.9298245614035088,0.9464285714285714,None,8
4,GaussianNB,0.8955223880597015,0.9110275689223057,0.9375,0.8379570972961199,0.8571428571428571,0.9110275689223057,0.8955223880597015,0.9649122807017544,0.9166666666666666,None,8
0,GaussianNB,0.9253731343283582,0.9386409736308317,0.9393939393939394,0.8828962497127828,0.9117647058823529,0.9386409736308317,0.9253731343283582,0.9655172413793104,0.9491525423728814,None,9
1,GaussianNB,0.927536231884058,0.9447261663286004,0.9142857142857143,0.8843103004653615,0.9411764705882353,0.9447261663286004,0.927536231884058,0.9482758620689655,0.9649122807017544,None,9
2,GaussianNB,0.9117647058823529,0.9300202839756593,0.9117647058823529,0.8600405679513184,0.9117647058823529,0.9300202839756592,0.9117647058823529,0.9482758620689655,0.9482758620689655,None,9
3,GaussianNB,0.9253731343283582,0.9340852130325814,0.96875,0.884964446656634,0.8857142857142857,0.9340852130325813,0.9253731343283582,0.9824561403508771,0.9333333333333333,None,9
4,GaussianNB,0.8656716417910447,0.8879699248120301,0.90625,0.7909497479356059,0.8285714285714286,0.8879699248120302,0.8656716417910447,0.9473684210526315,0.9,None,9
0,GaussianNB,0.8787878787878788,0.9006085192697768,0.90625,0.8119943685959329,0.8529411764705882,0.9006085192697769,0.8787878787878788,0.9482758620689655,0.9166666666666666,None,10
1,GaussianNB,0.8333333333333334,0.8590263691683571,0.9615384615384616,0.7697525854606158,0.7352941176470589,0.8590263691683571,0.8333333333333334,0.9827586206896551,0.8636363636363636,None,10
2,GaussianNB,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,None,10
3,GaussianNB,0.9428571428571428,0.9538847117794487,0.9428571428571428,0.9077694235588972,0.9428571428571428,0.9538847117794486,0.9428571428571428,0.9649122807017544,0.9649122807017544,None,10
4,GaussianNB,0.9066666666666666,0.9330827067669173,0.85,0.8482827207484639,0.9714285714285714,0.9330827067669173,0.9066666666666666,0.8947368421052632,0.9807692307692307,None,10
