Fold,Classifier,F1,Balanced_Accuracy,Precision,MCC,Recall,ROC_AUC,F2,Specificity,Negative_PV,Best_Params,Repetition
0,LightGBM,0.9090909090909091,0.9239350912778905,0.9375,0.8592750533496201,0.8823529411764706,0.9239350912778904,0.9090909090909091,0.9655172413793104,0.9333333333333333,"{'num_leaves': 100, 'max_depth': 4, 'learning_rate': 0.2959832897857006, 'n_estimators': 292, 'min_child_samples': 80, 'subsample': 0.6986905369784988, 'colsample_bytree': 0.6299794127049503, 'reg_alpha': 0.5672095830795838, 'reg_lambda': 0.5388345004397337}",1
1,LightGBM,0.9411764705882353,0.9533468559837728,0.9411764705882353,0.9066937119675457,0.9411764705882353,0.9533468559837729,0.9411764705882353,0.9655172413793104,0.9655172413793104,"{'num_leaves': 64, 'max_depth': 6, 'learning_rate': 0.14206892009983102, 'n_estimators': 170, 'min_child_samples': 8, 'subsample': 0.7241906063197298, 'colsample_bytree': 0.7250996011186507, 'reg_alpha': 1.7002211038899249, 'reg_lambda': 9.073299231557554}",1
2,LightGBM,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,"{'num_leaves': 84, 'max_depth': 14, 'learning_rate': 0.13353490557699296, 'n_estimators': 398, 'min_child_samples': 16, 'subsample': 0.5910705615592888, 'colsample_bytree': 0.9308721269287795, 'reg_alpha': 1.2348297820045429, 'reg_lambda': 4.690474930427716}",1
3,LightGBM,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'num_leaves': 68, 'max_depth': 7, 'learning_rate': 0.22160408306631205, 'n_estimators': 225, 'min_child_samples': 92, 'subsample': 0.5138992394810334, 'colsample_bytree': 0.8179101155419055, 'reg_alpha': 0.4463162167436696, 'reg_lambda': 8.252554511652555}",1
4,LightGBM,0.9577464788732394,0.9681704260651629,0.9444444444444444,0.9314513103439134,0.9714285714285714,0.968170426065163,0.9577464788732394,0.9649122807017544,0.9821428571428571,"{'num_leaves': 52, 'max_depth': 12, 'learning_rate': 0.24059696709091208, 'n_estimators': 454, 'min_child_samples': 89, 'subsample': 0.5621921326547537, 'colsample_bytree': 0.7880284087571611, 'reg_alpha': 0.22824763546255333, 'reg_lambda': 8.697476622869877}",1
0,LightGBM,0.9565217391304348,0.968052738336714,0.9428571428571428,0.9306937369777978,0.9705882352941176,0.9680527383367141,0.9565217391304348,0.9655172413793104,0.9824561403508771,"{'num_leaves': 34, 'max_depth': 5, 'learning_rate': 0.1485817034470669, 'n_estimators': 171, 'min_child_samples': 86, 'subsample': 0.5539947866280626, 'colsample_bytree': 0.8805867565852873, 'reg_alpha': 1.0103785970998485, 'reg_lambda': 9.993978209531983}",2
1,LightGBM,0.90625,0.9178498985801217,0.9666666666666667,0.8604928775548489,0.8529411764705882,0.9178498985801217,0.90625,0.9827586206896551,0.9193548387096774,"{'num_leaves': 32, 'max_depth': 4, 'learning_rate': 0.2915931651708548, 'n_estimators': 424, 'min_child_samples': 89, 'subsample': 0.7875012344846706, 'colsample_bytree': 0.6299691622528717, 'reg_alpha': 1.3002206051136087, 'reg_lambda': 6.70858777043062}",2
2,LightGBM,0.9117647058823529,0.9300202839756593,0.9117647058823529,0.8600405679513184,0.9117647058823529,0.9300202839756592,0.9117647058823529,0.9482758620689655,0.9482758620689655,"{'num_leaves': 21, 'max_depth': 3, 'learning_rate': 0.2370900124785522, 'n_estimators': 423, 'min_child_samples': 71, 'subsample': 0.5623710626080832, 'colsample_bytree': 0.5154987920566226, 'reg_alpha': 1.3571136940965298, 'reg_lambda': 6.5424614049301395}",2
3,LightGBM,0.9428571428571428,0.9538847117794487,0.9428571428571428,0.9077694235588972,0.9428571428571428,0.9538847117794486,0.9428571428571428,0.9649122807017544,0.9649122807017544,"{'num_leaves': 85, 'max_depth': 14, 'learning_rate': 0.10004042407099493, 'n_estimators': 495, 'min_child_samples': 43, 'subsample': 0.9585521692243679, 'colsample_bytree': 0.5187068928482645, 'reg_alpha': 0.06286383535417156, 'reg_lambda': 5.832222431672816}",2
4,LightGBM,0.9855072463768116,0.9857142857142858,1.0,0.9770771734902342,0.9714285714285714,0.9857142857142858,0.9855072463768116,1.0,0.9827586206896551,"{'num_leaves': 54, 'max_depth': 7, 'learning_rate': 0.07267811424313046, 'n_estimators': 257, 'min_child_samples': 94, 'subsample': 0.5824305728806789, 'colsample_bytree': 0.6073524988389997, 'reg_alpha': 0.6420869738407939, 'reg_lambda': 1.3447780341920095}",2
