Fold,Classifier,F1,Balanced_Accuracy,Precision,MCC,Recall,ROC_AUC,F2,Specificity,Negative_PV,Best_Params,Repetition
0,LogisticRegression-elastic,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,"{'C': 7.303798145567925, 'l1_ratio': 0.33344682960956373}",1
1,LogisticRegression-elastic,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9533468559837728,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9827586206896551,0.9827586206896551,"{'C': 0.27745922214922103, 'l1_ratio': 0.3791775909898275}",1
2,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 7.303798145567925, 'l1_ratio': 0.33344682960956373}",1
3,LogisticRegression-elastic,0.9705882352941176,0.9714285714285714,1.0,0.9544086565917347,0.9428571428571428,0.9714285714285714,0.9705882352941176,1.0,0.9661016949152542,"{'C': 7.303798145567925, 'l1_ratio': 0.33344682960956373}",1
4,LogisticRegression-elastic,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'C': 1.2524419175762318, 'l1_ratio': 0.39168576570899555}",1
0,LogisticRegression-elastic,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,"{'C': 0.916704674344696, 'l1_ratio': 0.23219570738775494}",2
1,LogisticRegression-elastic,0.8852459016393442,0.8970588235294117,1.0,0.8417822076213498,0.7941176470588235,0.8970588235294117,0.8852459016393442,1.0,0.8923076923076924,"{'C': 0.05822123620414749, 'l1_ratio': 0.047409100488298925}",2
2,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 0.6996320383149279, 'l1_ratio': 0.14864082631466388}",2
3,LogisticRegression-elastic,0.9295774647887324,0.9451127819548872,0.9166666666666666,0.8855768346738705,0.9428571428571428,0.9451127819548872,0.9295774647887324,0.9473684210526315,0.9642857142857143,"{'C': 16.245249943485476, 'l1_ratio': 0.16353512791480684}",2
4,LogisticRegression-elastic,0.9705882352941176,0.9714285714285714,1.0,0.9544086565917347,0.9428571428571428,0.9714285714285714,0.9705882352941176,1.0,0.9661016949152542,"{'C': 0.2820802562913826, 'l1_ratio': 0.32491788946450817}",2
0,LogisticRegression-elastic,0.9411764705882353,0.9533468559837728,0.9411764705882353,0.9066937119675457,0.9411764705882353,0.9533468559837729,0.9411764705882353,0.9655172413793104,0.9655172413793104,"{'C': 8.554882346987112, 'l1_ratio': 0.6204098156727161}",3
1,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 8.554882346987112, 'l1_ratio': 0.6204098156727161}",3
2,LogisticRegression-elastic,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,"{'C': 2.072863949066877, 'l1_ratio': 0.2319580879160773}",3
3,LogisticRegression-elastic,0.9859154929577465,0.9912280701754386,0.9722222222222222,0.9773257860139561,1.0,0.9912280701754386,0.9859154929577465,0.9824561403508771,1.0,"{'C': 2.072863949066877, 'l1_ratio': 0.2319580879160773}",3
4,LogisticRegression-elastic,0.9411764705882353,0.9483709273182956,0.9696969696969697,0.9077283820534893,0.9142857142857143,0.9483709273182956,0.9411764705882353,0.9824561403508771,0.9491525423728814,"{'C': 8.554882346987112, 'l1_ratio': 0.6204098156727161}",3
0,LogisticRegression-elastic,0.9375,0.9411764705882353,1.0,0.908530101301843,0.8823529411764706,0.9411764705882353,0.9375,1.0,0.9354838709677419,"{'C': 11.899298759294448, 'l1_ratio': 0.6776492902575817}",4
1,LogisticRegression-elastic,0.9552238805970149,0.9619675456389452,0.9696969696969697,0.9298479577899943,0.9411764705882353,0.9619675456389452,0.9552238805970149,0.9827586206896551,0.9661016949152542,"{'C': 0.2926340991704794, 'l1_ratio': 0.7641672524382682}",4
2,LogisticRegression-elastic,0.9850746268656716,0.9852941176470589,1.0,0.9767996658672059,0.9705882352941176,0.9852941176470589,0.9850746268656716,1.0,0.9830508474576272,"{'C': 1.3464894804804521, 'l1_ratio': 9.570897196742312e-05}",4
3,LogisticRegression-elastic,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'C': 1.180690927482263, 'l1_ratio': 0.5791124002824923}",4
4,LogisticRegression-elastic,0.9855072463768116,0.9857142857142858,1.0,0.9770771734902342,0.9714285714285714,0.9857142857142858,0.9855072463768116,1.0,0.9827586206896551,"{'C': 11.899298759294448, 'l1_ratio': 0.6776492902575817}",4
0,LogisticRegression-elastic,0.9538461538461539,0.9558823529411764,1.0,0.9310874388089504,0.9117647058823529,0.9558823529411764,0.9538461538461539,1.0,0.9508196721311475,"{'C': 0.89432441418737, 'l1_ratio': 0.46081577219630254}",5
1,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 12.777440844108375, 'l1_ratio': 0.4984350791527815}",5
2,LogisticRegression-elastic,0.9850746268656716,0.9852941176470589,1.0,0.9767996658672059,0.9705882352941176,0.9852941176470589,0.9850746268656716,1.0,0.9830508474576272,"{'C': 12.777440844108375, 'l1_ratio': 0.4984350791527815}",5
3,LogisticRegression-elastic,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9538847117794487,0.9714285714285714,0.9769423558897243,0.9714285714285714,0.9824561403508771,0.9824561403508771,"{'C': 0.2302606989713409, 'l1_ratio': 0.004252745936912536}",5
4,LogisticRegression-elastic,0.9565217391304348,0.96265664160401,0.9705882352941176,0.9306937369777978,0.9428571428571428,0.96265664160401,0.9565217391304348,0.9824561403508771,0.9655172413793104,"{'C': 12.777440844108375, 'l1_ratio': 0.4984350791527815}",5
0,LogisticRegression-elastic,0.9855072463768116,0.9913793103448276,0.9714285714285714,0.9770771734902342,1.0,0.9913793103448275,0.9855072463768116,0.9827586206896551,1.0,"{'C': 5.7347159967270285, 'l1_ratio': 0.7334822118217803}",6
1,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 1.6517661256419358, 'l1_ratio': 0.7967851949686233}",6
2,LogisticRegression-elastic,0.9696969696969697,0.9705882352941176,1.0,0.9538364228569945,0.9411764705882353,0.9705882352941176,0.9696969696969697,1.0,0.9666666666666667,"{'C': 0.4487408851600676, 'l1_ratio': 0.31406166855129497}",6
3,LogisticRegression-elastic,0.9705882352941176,0.9714285714285714,1.0,0.9544086565917347,0.9428571428571428,0.9714285714285714,0.9705882352941176,1.0,0.9661016949152542,"{'C': 96.27467582982742, 'l1_ratio': 0.7280976358043252}",6
4,LogisticRegression-elastic,0.9428571428571428,0.9538847117794487,0.9428571428571428,0.9077694235588972,0.9428571428571428,0.9538847117794486,0.9428571428571428,0.9649122807017544,0.9649122807017544,"{'C': 0.35793728025679566, 'l1_ratio': 0.5235052591759162}",6
0,LogisticRegression-elastic,0.9850746268656716,0.9852941176470589,1.0,0.9767996658672059,0.9705882352941176,0.9852941176470589,0.9850746268656716,1.0,0.9830508474576272,"{'C': 1.057635839031738, 'l1_ratio': 0.4418842689654364}",7
1,LogisticRegression-elastic,0.9393939393939394,0.947261663286004,0.96875,0.9065557381033074,0.9117647058823529,0.9472616632860039,0.9393939393939394,0.9827586206896551,0.95,"{'C': 0.37322331710888834, 'l1_ratio': 0.2598450772539389}",7
2,LogisticRegression-elastic,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9533468559837728,0.9705882352941176,0.9766734279918864,0.9705882352941176,0.9827586206896551,0.9827586206896551,"{'C': 1.057635839031738, 'l1_ratio': 0.4418842689654364}",7
3,LogisticRegression-elastic,0.9428571428571428,0.9538847117794487,0.9428571428571428,0.9077694235588972,0.9428571428571428,0.9538847117794486,0.9428571428571428,0.9649122807017544,0.9649122807017544,"{'C': 6.617910975438238, 'l1_ratio': 0.027489052939724812}",7
